"","id","rate","povertytotalrate","povertymale","povertyedu","povertyover16female","povertyover16male","povertyfemaleunemployed","povertymaleunemployed","povertyage16to17","povertyage18to24","povertyage25to34","povertyage35to44","occupationssales","occupationsservice","employedfemalerate","employedNoHI","unemployedpublicHI","medianagemale","medianagefemale","age15to19Female","age20to24Female","age25to29Female","age30to34Female","age15to19Male","age20to24Male","age25to29Male","age30to34Male","lessHSearning","HSearning","Collegeearning"
"572","19063",31.8,0.575017446,0.472059606173497,0.621517771373679,0.463184931506849,0.51541095890411,73.1,63.5,0.00372538584353379,0.105907397551889,0.110697179350718,0.106971793507185,0.157642648896293,0.181382757184506,0.561229674796748,0.073394495412844,0.00678899082568807,41.5,43.8,0.082200376490274,0.05500941225685,0.0447605103534825,0.0552185735201841,0.115303983228512,0.050104821802935,0.0322851153039832,0.0528301886792453,25625,33509,34052
"573","19065",126.3,0.581736776,0.496074232690935,0.549894736842105,0.462609036557875,0.505929628540625,15.3,30.5,0.00333095408041875,0.169878658101356,0.168689031644064,0.0647156792767071,0.17862533963973,0.180537385528832,0.583128381701918,0.0595791199781361,0.00920105675503325,41.7,45.6,0.0691773235323734,0.0569932534487967,0.053771020038264,0.0480314167757527,0.0713142628525705,0.0683136627325465,0.0592118423684737,0.0524104820964193,22727,28683,31794
"574","19067",57.2,0.570074909,0.533834586466165,0.456619144602851,0.453538461538462,0.521230769230769,11.7,29.7,0,0.0905524681268388,0.143184047074207,0.0957829355998692,0.233333333333333,0.152777777777778,0.570875290472502,0.0742061665899678,0.00989415554532904,41.8,45.2,0.0641374196737518,0.0606772120612951,0.0439940682155215,0.0473306969846762,0.0673448364666495,0.0583311872263714,0.0544681946948236,0.0517640999227401,26935,28529,33329
"575","19069",68.9,0.568069061,0.517613636363636,0.56633048875097,0.437921459738199,0.523006743355811,0,27.3,0.00340909090909091,0.122727272727273,0.182386363636364,0.0784090909090909,0.185139318885449,0.153766769865841,0.539194139194139,0.0421985815602837,0.0161347517730496,40.4,44.8,0.046216848673947,0.0579173166926677,0.0569422776911076,0.047581903276131,0.0498338870431894,0.0558921242915771,0.0486613249951143,0.0633183505960524,30536,34215,34604
"576","19071",86.4,0.573410063,0.511575802837939,0.594090202177294,0.440159954298772,0.523279063124822,25,35,0.0126960418222554,0.109783420463032,0.120985810306199,0.0694548170276326,0.182330269789505,0.15979839905129,0.543562610229277,0.0551508844953174,0.0104058272632674,44.5,46.5,0.0463121783876501,0.0500285877644368,0.0411663807890223,0.0511720983419097,0.0590778097982709,0.0501440922190202,0.0423631123919308,0.0530259365994236,30357,37121,34531
"577","19073",11.1,0.558037225,0.454746136865342,0.722081218274112,0.43461781427669,0.512528953463887,41.9,30.8,0.00551876379690949,0.136313465783664,0.100993377483444,0.0910596026490066,0.175855935971543,0.157403290351267,0.554242749731472,0.0401392586524677,0.0225271349580176,43.2,46.9,0.0523469608479342,0.0560242266926238,0.0467229072031149,0.0469392169586848,0.0627853881278539,0.0559360730593607,0.0502283105022831,0.0506849315068493,15667,27235,39137
"578","19075",64.9,0.572444004,0.464143426294821,0.557354925775978,0.449373040752351,0.529310344827586,34.9,12.3,0,0.113545816733068,0.153386454183267,0.077191235059761,0.212684176809737,0.132447149263293,0.572484025559105,0.0242112986060161,0.00689655172413793,41.2,44.1,0.0559922990534253,0.0458848066741537,0.049093534413605,0.0598427723407669,0.0620497707924034,0.0505893909626719,0.0509168303863785,0.0546823837590046,32292,37213,38777
"579","19077",56.2,0.558976788,0.477710233029382,0.588936170212766,0.471148562007694,0.495145631067961,32.4,19,0,0.0759878419452888,0.107396149949341,0.101823708206687,0.232037914691943,0.14085308056872,0.595922150139018,0.0408482530853468,0.0137319659308187,43.9,47,0.0586252107136168,0.0443903352687769,0.0402697134294812,0.0473871511519011,0.0706654170571696,0.0496719775070291,0.0427366447985005,0.0474226804123711,25000,28640,40625
"580","19079",59.5,0.576690821,0.458348623853211,0.605117565698479,0.460038240917782,0.509623964308477,44,42.9,0.0018348623853211,0.128807339449541,0.143853211009174,0.0803669724770642,0.192191402655449,0.163533587485211,0.58740234375,0.0526190758997506,0.00819574771350517,41.5,43.7,0.0500452605715764,0.0512091038406828,0.0522436311909996,0.0578042156989525,0.0666937779585197,0.0493425511725634,0.0452758573946049,0.0695404636030907,34250,31964,40132
"581","19081",65,0.572203517,0.523640061006609,0.645086705202312,0.453851492019431,0.526891047883414,21.7,27.3,0,0.147432638535841,0.139298423995933,0.0854092526690391,0.177074119936317,0.13992570316646,0.595221843003413,0.0210404241219351,0.00298210735586481,42.1,45.9,0.0545050055617353,0.0470893585465332,0.046347793845013,0.0511679644048943,0.0697124135420459,0.0484164543137969,0.0498725882781216,0.0595194757917728,27450,32816,35569
"582","19083",41.1,0.581575549,0.473131191834284,0.587091757387247,0.461494515539305,0.521366544789762,7,39.1,0.00300210147102972,0.0981687181026719,0.12218552987091,0.0798558991293906,0.191093767932974,0.164237346493745,0.577534791252485,0.0375861348924619,0.00511589058258509,41.6,47.4,0.0586311609437047,0.0483531885073581,0.0483531885073581,0.0594487269329596,0.093286631640397,0.0535901926444834,0.0492702860478692,0.0632807939287799,26338,32479,34065
